crawl_time,horse_name,jockey,trainer,weight
2020_04_17_07_55,HURRICANE HUNTER,J Moreira,C H Yip,133
2020_04_17_07_55,JOY MASTER,Z Purton,C Fownes,133
2020_04_17_07_55,SEIZE THE SPIRIT,V Borges,Y S Tsui,133
2020_04_17_07_55,LIVERBIRD STAR,A Hamelin,P O'Sullivan,131
2020_04_17_07_55,OLD HAVANA,B Shinn,D E Ferraris,131
2020_04_17_07_55,SHANGHAI RUSKY,C Wong,C W Chang,131
2020_04_17_07_55,DR LUCKY STAR,M Chadwick,D J Hall,130
2020_04_17_07_55,SUPREME PLUS,K C Leung,F C Lor,130
2020_04_17_07_55,WONDER EXPRESS,C Schofield,K H Ting,130
2020_04_17_07_55,MONEYMORE,K Teetan,W Y So,129
2020_04_17_07_55,FORTUNE BUDDY,N Callan,T P Yung,128
2020_04_17_07_55,GOOD CHOICE AHEAD,M F Poon,L Ho,124
2020_04_17_07_55,WINNING WARRIOR,M L Yeung,K L Man,124
2020_04_17_07_55,GOLDEN CANNON,C Y Ho,K W Lui,120
crawl_time,horse_name,jockey,trainer,weight
2020_04_17_08_05,HURRICANE HUNTER,J Moreira,C H Yip,133
2020_04_17_08_05,JOY MASTER,Z Purton,C Fownes,133
2020_04_17_08_05,SEIZE THE SPIRIT,V Borges,Y S Tsui,133
2020_04_17_08_05,LIVERBIRD STAR,A Hamelin,P O'Sullivan,131
2020_04_17_08_05,OLD HAVANA,B Shinn,D E Ferraris,131
2020_04_17_08_05,SHANGHAI RUSKY,C Wong,C W Chang,131
2020_04_17_08_05,DR LUCKY STAR,M Chadwick,D J Hall,130
2020_04_17_08_05,SUPREME PLUS,K C Leung,F C Lor,130
2020_04_17_08_05,WONDER EXPRESS,C Schofield,K H Ting,130
2020_04_17_08_05,MONEYMORE,K Teetan,W Y So,129
2020_04_17_08_05,FORTUNE BUDDY,N Callan,T P Yung,128
2020_04_17_08_05,GOOD CHOICE AHEAD,M F Poon,L Ho,124
2020_04_17_08_05,WINNING WARRIOR,M L Yeung,K L Man,124
2020_04_17_08_05,GOLDEN CANNON,C Y Ho,K W Lui,120
